order_id,product_id,quantity
1001112,1024,1
1000769,1024,1
1000700,1024,1
1000599,1024,1
1000469,1024,1
1001796,1024,1
1001635,1024,1
1001545,1024,1
1006875,1024,1
1006657,1024,1
1006582,1024,1
1002176,1024,1
1001934,1024,1
1001342,1024,1
1001062,1024,1
1001007,1024,1
1000961,1024,1
1006545,1024,1
1006488,1024,1
1006274,1024,1
1005530,1024,1
1004034,1024,1
1004024,1024,1
1001198,1024,1
1000718,1024,1
1000229,1024,1
1008618,1024,1
1007965,1024,1
1005434,1024,1
1004827,1024,1
1004563,1024,1
1003614,1024,1
1003027,1024,1
1002963,1024,1
1002434,1024,1
1002290,1024,1
1001971,1024,1
1001959,1024,1
1008473,1024,1
1008345,1024,1
1006880,1024,1
1006632,1024,1
1003420,1024,1
1003409,1024,1
1002748,1024,1
1002300,1024,1
1008647,1024,1
1008510,1024,1
1007653,1024,1
1006747,1024,1
1006702,1024,1
1006457,1024,1
1005559,1024,1
1004106,1024,1
1002346,1024,1
1008663,1024,1
1008096,1024,1
1007364,1024,1
1006352,1024,1
1005470,1024,1
1003113,1024,1
1002520,1024,1
1002029,1024,1
1001439,1024,1
1001292,1024,1
1000858,1024,1
1002048,1024,1
1005359,1024,1
1005113,1024,1
1005095,1024,1
1007550,1024,1
1004460,1024,1
1003564,1024,1
1000764,1025,1
1008904,1025,1
1001841,1025,1
1001687,1025,1
1001395,1025,1
1003855,1025,1
1003572,1025,1
1000505,1025,1
1000491,1025,1
1006830,1025,1
1006811,1025,1
1002064,1025,1
1001877,1025,1
1001559,1025,1
1001394,1025,1
1001394,1025,1
1001180,1025,1
1001041,1025,1
1000634,1025,1
1007679,1025,1
1007105,1025,1
1005908,1025,1
1005092,1025,1
1003311,1025,1
1002832,1025,1
1002449,1025,1
1002315,1025,1
1000587,1025,1
1008532,1025,1
1006002,1025,1
1005391,1025,1
1004607,1025,1
1004112,1025,1
1003371,1025,1
1003215,1025,1
1000296,1025,1
1006591,1025,1
1005956,1025,1
1005750,1025,1
1005029,1025,1
1004348,1025,1
1000051,1025,1
1008937,1025,1
1008286,1025,1
1006207,1025,1
1006113,1025,1
1005450,1025,1
1004761,1025,1
1004653,1025,1
1004129,1025,1
1003879,1025,1
1003683,1025,1
1003145,1025,1
1007586,1025,1
1007305,1025,1
1006801,1025,1
1005044,1025,1
1001185,1025,1
1008351,1025,1
1004638,1025,1
1000264,1025,1
1004403,1025,1
1001209,1025,1
1007795,1025,1
1002689,1025,1
1002200,1025,1
1000509,1026,1
1001711,1026,1
1001127,1026,1
1003515,1026,1
1000769,1026,1
1001834,1026,1
1001722,1026,1
1001605,1026,1
1001558,1026,1
1007761,1026,1
1007494,1026,1
1007487,1026,1
1006969,1026,1
1006883,1026,1
1001394,1026,1
1000958,1026,1
1000826,1026,1
1008312,1026,1
1008141,1026,1
1005695,1026,1
1004910,1026,1
1004131,1026,1
1004088,1026,1
1004080,1026,1
1003319,1026,1
1003121,1026,1
1003056,1026,1
1000895,1026,1
1000467,1026,1
1000107,1026,1
1005048,1026,1
1004849,1026,1
1004236,1026,1
1003081,1026,1
1002800,1026,1
1002479,1026,1
1002132,1026,1
1000537,1026,1
1007504,1026,1
1007279,1026,1
1006912,1026,1
1006909,1026,1
1006212,1026,1
1005435,1026,1
1004799,1026,1
1004788,1026,1
1002732,1026,1
1002153,1026,1
1006347,1026,1
1001567,1026,1
1008876,1026,1
1007906,1026,1
1006130,1026,1
1005056,1026,1
1004890,1026,1
1002251,1026,1
1001588,1026,1
1001287,1026,1
1001248,1026,1
1006243,1026,1
1003525,1026,1
1003687,1026,1
1000927,1026,1
1000690,1026,1
1000180,1027,1
1000180,1027,1
1008915,1027,1
1001591,1027,1
1004113,1027,1
1003572,1027,1
1003511,1027,1
1000693,1027,1
1001747,1027,1
1007742,1027,1
1007538,1027,1
1007310,1027,1
1007161,1027,1
1007057,1027,1
1007043,1027,1
1006648,1027,1
1006490,1027,1
1001612,1027,1
1001012,1027,1
1008858,1027,1
1008796,1027,1
1008108,1027,1
1007646,1027,1
1006972,1027,1
1006221,1027,1
1005112,1027,1
1004787,1027,1
1004327,1027,1
1004277,1027,1
1002738,1027,1
1001522,1027,1
1000145,1027,1
1001155,1027,1
1000177,1027,1
1008255,1027,1
1008105,1027,1
1005628,1027,1
1002512,1027,1
1002506,1027,1
1002405,1027,1
1000068,1027,1
1008730,1027,1
1007876,1027,1
1007417,1027,1
1003445,1027,1
1002210,1027,1
1007994,1027,1
1007794,1027,1
1007781,1027,1
1006961,1027,1
1006547,1027,1
1005156,1027,1
1003274,1027,1
1001863,1027,1
1008435,1027,1
1004513,1027,1
1002545,1027,1
1002232,1027,1
1000682,1027,1
1007969,1027,1
1007704,1027,1
1006023,1027,1
1002120,1027,1
1002001,1027,1
1008914,1027,1
1008250,1027,1
1007266,1027,1
