order_id,customer_id,order_date,status,delivery_included
1008830,40648,2023-04-09,Delivered,
1006387,40531,2023-04-09,Delivered,
1006792,40918,2023-04-09,Delivered,
1005965,40662,2023-04-09,Delivered,
1005089,40844,2023-04-09,Delivered,
1004171,40681,2023-04-09,Delivered,
1003258,40110,2023-04-09,Delivered,
1001339,40327,2023-04-09,Delivered,
1002000,40007,2023-04-09,Delivered,
1001545,40407,2023-04-09,Delivered,
1000229,40400,2023-04-09,Shipped,
1006273,40928,2023-04-10,Delivered,
1005354,40409,2023-04-10,Shipped,
1003025,40980,2023-04-10,Shipped,
1002049,40590,2023-04-10,Delivered,
1001712,40734,2023-04-10,Cancelled,
1000513,40209,2023-04-10,Shipped,
1000619,40925,2023-04-10,Delivered,
1007500,40632,2023-04-11,Delivered,
1006624,40735,2023-04-11,Delivered,
1006355,40010,2023-04-11,Delivered,
1006400,40616,2023-04-11,Delivered,
1005670,40090,2023-04-11,Delivered,
1003644,40924,2023-04-11,Delivered,
1002106,,2023-04-11,Delivered,
1001342,40874,2023-04-11,Delivered,
1000912,40730,2023-04-11,Delivered,
1000395,40395,2023-04-11,Delivered,
1000523,40799,2023-04-11,Delivered,
1000767,40474,2023-04-11,Delivered,
1000508,40575,2023-04-11,Delivered,
1008838,40874,2023-04-12,Delivered,
1005994,40625,2023-04-12,Delivered,
1005367,40456,2023-04-12,Delivered,
1005161,40737,2023-04-12,Delivered,
1002130,40013,2023-04-12,Delivered,
1002524,40864,2023-04-12,Delivered,
1001015,40119,2023-04-12,Delivered,
1001243,40891,2023-04-12,Delivered,
1001873,40399,2023-04-12,Delivered,
1000332,40909,2023-04-12,Delivered,
1000331,40285,2023-04-12,Delivered,
1006424,40679,2023-04-13,Cancelled,
1006767,40348,2023-04-13,Delivered,
1005624,,2023-04-13,Delivered,
1004294,40670,2023-04-13,Delivered,
1002173,40526,2023-04-13,Delivered,
1001388,40232,2023-04-13,Delivered,
1001756,40368,2023-04-13,Shipped,
1000749,40060,2023-04-13,Delivered,
1007816,40044,2023-04-14,Delivered,
1006332,40660,2023-04-14,Delivered,
1006559,40090,2023-04-14,Delivered,
1006997,40548,2023-04-14,Delivered,
1006200,40985,2023-04-14,Delivered,
1006155,40547,2023-04-14,Delivered,
1006881,40694,2023-04-14,Delivered,
1004175,40840,2023-04-14,Delivered,
1004023,40166,2023-04-14,Delivered,
1004917,40346,2023-04-14,Delivered,
1004409,40061,2023-04-14,Delivered,
1003701,40982,2023-04-14,Delivered,
1001205,40487,2023-04-14,Shipped,
1001461,40705,2023-04-14,Delivered,
1001784,40833,2023-04-14,Delivered,
1008886,40248,2023-04-15,Delivered,
1007243,40110,2023-04-15,Shipped,
1006162,40943,2023-04-15,Shipped,
1006220,40045,2023-04-15,Shipped,
1004792,40978,2023-04-15,Delivered,
1004584,40782,2023-04-15,Pending,
1004593,40789,2023-04-15,Delivered,
1003907,40844,2023-04-15,Delivered,
1002466,40704,2023-04-15,Delivered,
1002976,40247,2023-04-15,Delivered,
1006373,40083,2023-04-16,Delivered,
1006304,40457,2023-04-16,Delivered,
1005411,40710,2023-04-16,Delivered,
1005631,40448,2023-04-16,Delivered,
1005142,40761,2023-04-16,Delivered,
1004407,40052,2023-04-16,Delivered,
1004031,40171,2023-04-16,Delivered,
1004475,40213,2023-04-16,Delivered,
1004165,40658,2023-04-16,Delivered,
1003965,40225,2023-04-16,Delivered,
1002611,40825,2023-04-16,Delivered,
1002908,40833,2023-04-16,Delivered,
1002042,40961,2023-04-16,Delivered,
1001309,40290,2023-04-16,Delivered,
1001035,40513,2023-04-16,Delivered,
1008609,40675,2023-04-17,Processing,
1007691,40422,2023-04-17,Delivered,
1007781,40683,2023-04-17,Delivered,
1007809,40172,2023-04-17,Delivered,
1006803,40884,2023-04-17,Delivered,
1005424,40341,2023-04-17,Delivered,
1005030,40374,2023-04-17,Cancelled,
1002785,40924,2023-04-17,Delivered,
1001535,40108,2023-04-17,Delivered,
1001645,40590,2023-04-17,Shipped,
1001167,40405,2023-04-17,Delivered,
1000895,40345,2023-04-17,Delivered,
1008771,40431,2023-04-18,Delivered,
1008253,40371,2023-04-18,Shipped,
1008455,40486,2023-04-18,Pending,
1008577,40632,2023-04-18,Delivered,
1007492,40670,2023-04-18,Cancelled,
1005507,40075,2023-04-18,Delivered,
1005998,40281,2023-04-18,Cancelled,
1004063,40951,2023-04-18,Delivered,
1001064,40996,2023-04-18,Delivered,
1001837,40725,2023-04-18,Delivered,
1000201,40872,2023-04-18,Cancelled,
1008707,40437,2023-04-19,Delivered,
1008664,40388,2023-04-19,Delivered,
1007328,40971,2023-04-19,Delivered,
1006542,40491,2023-04-19,Delivered,
1004692,,2023-04-19,Shipped,
1004244,40502,2023-04-19,Delivered,
1003020,40783,2023-04-19,Delivered,
1002914,40133,2023-04-19,Delivered,
1001356,40960,2023-04-19,Delivered,
1000856,40740,2023-04-19,Delivered,
1000969,40639,2023-04-19,Delivered,
1006097,,2023-04-20,Cancelled,
1004411,40977,2023-04-20,Delivered,
1003467,40541,2023-04-20,Shipped,
1001157,40279,2023-04-20,Delivered,
1000972,40029,2023-04-20,Shipped,
1000725,40167,2023-04-20,Delivered,
1008236,40395,2023-04-21,Delivered,
1007107,40355,2023-04-21,Delivered,
1007054,40815,2023-04-21,Delivered,
1005316,40188,2023-04-21,Delivered,
1004597,40892,2023-04-21,Shipped,
1004370,40915,2023-04-21,Delivered,
1004445,40892,2023-04-21,Delivered,
1004470,40741,2023-04-21,Delivered,
1003536,40377,2023-04-21,Delivered,
1003730,40730,2023-04-21,Delivered,
1002506,40011,2023-04-21,Delivered,
1002412,40949,2023-04-21,Shipped,
1001366,40111,2023-04-21,Delivered,
1001679,40675,2023-04-21,Shipped,
1001922,40035,2023-04-21,Delivered,
1001938,40908,2023-04-21,Shipped,
1000245,40792,2023-04-21,Delivered,
1005972,40073,2023-04-22,Delivered,
1004618,40986,2023-04-22,Delivered,
1004713,40897,2023-04-22,Delivered,
1004466,40533,2023-04-22,Delivered,
1003388,40923,2023-04-22,Delivered,
1002060,40805,2023-04-22,Cancelled,
1002519,40376,2023-04-22,Shipped,
1000520,40032,2023-04-22,Delivered,
1007635,40684,2023-04-23,Delivered,
1006785,40652,2023-04-23,Cancelled,
1004628,40808,2023-04-23,Delivered,
1002934,40855,2023-04-23,Delivered,
1001637,40803,2023-04-23,Shipped,
1000542,40722,2023-04-23,Delivered,
1000489,40169,2023-04-23,Delivered,
1007489,40617,2023-04-24,Delivered,
1006446,40113,2023-04-24,Delivered,
1004523,40258,2023-04-24,Delivered,
1004326,,2023-04-24,Delivered,
1004671,40318,2023-04-24,Delivered,
1003856,40300,2023-04-24,Shipped,
1003991,40328,2023-04-24,Delivered,
1003586,40163,2023-04-24,Shipped,
1003117,40352,2023-04-24,Delivered,
1002238,40073,2023-04-24,Delivered,
1002402,40735,2023-04-24,Shipped,
1000219,40208,2023-04-24,Delivered,
1008336,40454,2023-04-25,Delivered,
1007815,40108,2023-04-25,Delivered,
1006610,40102,2023-04-25,Delivered,
1006179,40416,2023-04-25,Delivered,
1006426,40484,2023-04-25,Delivered,
1005496,40640,2023-04-25,Delivered,
1005757,40534,2023-04-25,Delivered,
1004742,40223,2023-04-25,Delivered,
1003770,40155,2023-04-25,Shipped,
1002596,40304,2023-04-25,Delivered,
1001254,40237,2023-04-25,Delivered,
1001063,40773,2023-04-25,Delivered,
1001704,40180,2023-04-25,Delivered,
1001344,40292,2023-04-25,Delivered,
1000240,40117,2023-04-25,Processing,
1000633,40360,2023-04-25,Delivered,
1000932,40420,2023-04-25,Delivered,
1000958,40254,2023-04-25,Delivered,
1008419,40124,2023-04-26,Delivered,
1007485,40230,2023-04-26,Delivered,
1007363,40081,2023-04-26,Delivered,
1004218,40437,2023-04-26,Shipped,
1004482,40735,2023-04-26,Delivered,
1004729,40406,2023-04-26,Delivered,
1003717,40505,2023-04-26,Delivered,
1003404,40106,2023-04-26,Delivered,
1002084,40666,2023-04-26,Delivered,
1002540,40356,2023-04-26,Delivered,
1001889,40971,2023-04-26,Shipped,
1000510,40624,2023-04-26,Delivered,
1000127,40548,2023-04-26,Cancelled,
1000944,,2023-04-26,Delivered,
1008855,40144,2023-04-27,Delivered,
1008852,40322,2023-04-27,Cancelled,
1008539,40515,2023-04-27,Delivered,
1007250,40616,2023-04-27,Delivered,
1007040,40066,2023-04-27,Delivered,
1006661,40260,2023-04-27,Cancelled,
1006297,40219,2023-04-27,Delivered,
1006702,40505,2023-04-27,Delivered,
1005495,40633,2023-04-27,Delivered,
1005665,40348,2023-04-27,Delivered,
1005281,40940,2023-04-27,Cancelled,
1004773,40425,2023-04-27,Delivered,
1003005,40722,2023-04-27,Delivered,
1001841,40423,2023-04-27,Delivered,
1001658,40447,2023-04-27,Delivered,
1001232,40180,2023-04-27,Delivered,
1008484,40817,2023-04-28,Delivered,
1008401,40868,2023-04-28,Processing,
1007057,40265,2023-04-28,Delivered,
1005195,40083,2023-04-28,Processing,
1005849,40936,2023-04-28,Delivered,
1003393,40120,2023-04-28,Delivered,
1002932,,2023-04-28,Delivered,
1002921,40756,2023-04-28,Delivered,
1000975,40298,2023-04-28,Delivered,
1008229,40116,2023-04-29,Delivered,
1007788,40521,2023-04-29,Delivered,
1007599,40861,2023-04-29,Cancelled,
1007006,40589,2023-04-29,Delivered,
1006974,40506,2023-04-29,Cancelled,
1006330,40618,2023-04-29,Delivered,
1005033,40902,2023-04-29,Delivered,
1004439,40677,2023-04-29,Delivered,
1004764,40868,2023-04-29,Delivered,
1003154,40229,2023-04-29,Delivered,
1003451,40777,2023-04-29,Delivered,
1002194,40501,2023-04-29,Delivered,
1000394,40917,2023-04-29,Delivered,
1000797,40833,2023-04-29,Delivered,
1006861,40850,2023-04-30,Shipped,
1005413,40988,2023-04-30,Delivered,
1003620,40453,2023-04-30,Processing,
1002284,40477,2023-04-30,Delivered,
1002289,40522,2023-04-30,Delivered,
1002139,40999,2023-04-30,Delivered,
1000176,40013,2023-04-30,Delivered,
1008702,40184,2023-05-01,Delivered,
1008040,40486,2023-05-01,Delivered,
1008734,40518,2023-05-01,Delivered,
1007428,40779,2023-05-01,Shipped,
1007559,40394,2023-05-01,Delivered,
1003367,40448,2023-05-01,Delivered,
1002982,40813,2023-05-01,Delivered,
1002819,40703,2023-05-01,Delivered,
1001046,40817,2023-05-01,Delivered,
1000148,40721,2023-05-01,Delivered,
1007675,40266,2023-05-02,Delivered,
1007615,40290,2023-05-02,Delivered,
1004987,40613,2023-05-02,Delivered,
1003161,40403,2023-05-02,Delivered,
1002214,40020,2023-05-02,Delivered,
1002435,40797,2023-05-02,Cancelled,
1007794,40799,2023-05-03,Delivered,
1007521,40882,2023-05-03,Delivered,
1006038,40815,2023-05-03,Delivered,
1005189,40320,2023-05-03,Delivered,
1004993,40879,2023-05-03,Pending,
1003884,40517,2023-05-03,Delivered,
1003209,40618,2023-05-03,Delivered,
1002495,40921,2023-05-03,Delivered,
1001672,40999,2023-05-03,Delivered,
1001866,40193,2023-05-03,Delivered,
1000186,40083,2023-05-03,Delivered,
1000734,40556,2023-05-03,Delivered,
1000541,40621,2023-05-03,Delivered,
1008268,40834,2023-05-04,Delivered,
1008846,40092,2023-05-04,Delivered,
1007491,40414,2023-05-04,Delivered,
1007325,40809,2023-05-04,Delivered,
1005513,40884,2023-05-04,Shipped,
1005829,40288,2023-05-04,Cancelled,
1004138,40888,2023-05-04,Delivered,
1004034,40524,2023-05-04,Delivered,
1002270,40959,2023-05-04,Delivered,
1001754,40927,2023-05-04,Delivered,
1001185,40851,2023-05-04,Delivered,
1000522,40892,2023-05-04,Delivered,
1000690,40097,2023-05-04,Delivered,
1008646,40957,2023-05-05,Delivered,
1007405,40118,2023-05-05,Delivered,
1007661,40420,2023-05-05,Delivered,
1005098,40276,2023-05-05,Delivered,
1004384,40988,2023-05-05,Cancelled,
1003729,40574,2023-05-05,Delivered,
1001300,40447,2023-05-05,Delivered,
1001962,40946,2023-05-05,Shipped,
1001689,40750,2023-05-05,Delivered,
1001846,40602,2023-05-05,Delivered,
1008051,40859,2023-05-06,Delivered,
1008328,40690,2023-05-06,Delivered,
1008080,40559,2023-05-06,Shipped,
1007520,40916,2023-05-06,Delivered,
1007201,40979,2023-05-06,Cancelled,
1007487,40475,2023-05-06,Delivered,
1005025,40253,2023-05-06,Delivered,
1003611,40943,2023-05-06,Delivered,
1001379,40348,2023-05-06,Delivered,
1001883,40135,2023-05-06,Shipped,
1001961,40933,2023-05-06,Delivered,
1000940,40302,2023-05-06,Processing,
1000636,40936,2023-05-06,Shipped,
1008784,40466,2023-05-07,Delivered,
1007494,40530,2023-05-07,Delivered,
1007967,40740,2023-05-07,Delivered,
1006591,40924,2023-05-07,Delivered,
1004956,40905,2023-05-07,Delivered,
1003598,40109,2023-05-07,Delivered,
1002309,40725,2023-05-07,Delivered,
1000419,40396,2023-05-07,Delivered,
1000735,40733,2023-05-07,Shipped,
1008637,40753,2023-05-08,Delivered,
1007260,40137,2023-05-08,Delivered,
1007814,,2023-05-08,Delivered,
1007399,40836,2023-05-08,Delivered,
1006163,40054,2023-05-08,Delivered,
1004433,,2023-05-08,Delivered,
1004150,40295,2023-05-08,Delivered,
1003150,40874,2023-05-08,Delivered,
1002997,40143,2023-05-08,Delivered,
1008683,,2023-05-09,Delivered,
1008368,40784,2023-05-09,Delivered,
1007929,40350,2023-05-09,Delivered,
1003096,40237,2023-05-09,Delivered,
1001186,40776,2023-05-09,Delivered,
1001345,40119,2023-05-09,Delivered,
1001512,40359,2023-05-09,Delivered,
1000810,40691,2023-05-09,Delivered,
1000454,40127,2023-05-09,Shipped,
1008306,40026,2023-05-10,Shipped,
1007642,40644,2023-05-10,Delivered,
1006740,40915,2023-05-10,Delivered,
1006941,40851,2023-05-10,Delivered,
1005899,40509,2023-05-10,Delivered,
1005359,40623,2023-05-10,Delivered,
1002368,40468,2023-05-10,Delivered,
1001008,40497,2023-05-10,Delivered,
1000387,40668,2023-05-10,Delivered,
1007479,40151,2023-05-11,Delivered,
1005267,40115,2023-05-11,Shipped,
1005309,40868,2023-05-11,Delivered,
1002894,40497,2023-05-11,Delivered,
1000866,40263,2023-05-11,Delivered,
1000658,40545,2023-05-11,Delivered,
1005646,40948,2023-05-12,Delivered,
1004755,,2023-05-12,Delivered,
1002586,40079,2023-05-12,Delivered,
1001117,40352,2023-05-12,Delivered,
1001597,40241,2023-05-12,Delivered,
1000484,,2023-05-12,Delivered,
1008989,40296,2023-05-13,Pending,
1008379,40979,2023-05-13,Delivered,
1008650,40812,2023-05-13,Delivered,
1006529,40348,2023-05-13,Delivered,
1006227,40212,2023-05-13,Delivered,
1006913,40357,2023-05-13,Delivered,
1006880,40228,2023-05-13,Delivered,
1004521,40498,2023-05-13,Shipped,
1002482,40303,2023-05-13,Delivered,
1001231,40224,2023-05-13,Delivered,
1000451,40285,2023-05-13,Delivered,
1000220,40432,2023-05-13,Delivered,
1000704,40697,2023-05-13,Delivered,
1000822,40553,2023-05-13,Cancelled,
1008409,40203,2023-05-14,Delivered,
1007729,40987,2023-05-14,Delivered,
1006393,40162,2023-05-14,Cancelled,
1006048,,2023-05-14,Delivered,
1005599,40955,2023-05-14,Cancelled,
1005544,40496,2023-05-14,Delivered,
1005672,40360,2023-05-14,Delivered,
1005912,40235,2023-05-14,Delivered,
1004284,40197,2023-05-14,Delivered,
1004887,40566,2023-05-14,Shipped,
1004625,40213,2023-05-14,Delivered,
1003850,40479,2023-05-14,Cancelled,
